서비스아이디,서비스명,서비스URL,서비스요약,사이트,대표문의,소관부처명,소관조직명,기준년도,최종수정일
325,노인 안검진 및 개안수술,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=325,저소득층 노인에게 안과 정밀검진과 개안수술을 지원하여 안질환의 조기발견 및 적기 치료를 통해 실명을 예방하고 시력을 유지합니다.,한국실명예방재단 http://www.kfpb.org 보건복지부 콜센터 http://www.129.go.kr,보건복지콜센터 129,보건복지부,치매정책과,2021,2021-04-09
17161,노인맞춤돌봄서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=17161,"일상생활 영위가 어려운 취약노인에게 적절한 돌봄서비스를 제공하여 안정적인 노후생활 보장, 노인의 기능·건강 유지 및 악화 예방을 지원합니다.",보건복지부 http://www.mohw.go.kr,보건복지상담센터 129,보건복지부,노인정책과,2021,2021-06-09
29,노인보호전문기관,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=29,"신체적, 정신적, 경제적으로 학대 받고 있는 노인을 보호하기 위하여 일시보호, 법률지원, 전문상담 서비스를 제공합니다.",,노인보호전문기관 1577-1389,보건복지부,노인정책과,2021,2021-05-18
238,노인복지민간단체 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=238,노인단체의 활동을 육성하여 노인의 사회참여와 권익의 향상을 돕습니다.,보건복지부 http://www.mohw.go.kr 보건복지부 콜센터 http://www.129.go.kr,보건복지콜센터 129,보건복지부,노인지원과,2018,2018-03-14
348,노인일자리 및 사회활동 지원사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=348,활기차고 건강한 노후생활을 영위할 수 있도록 다양한 일자리를 제공하고 사회활동을 지원하여 노인 복지 향상에 기여합니다.,한국노인인력개발원 http://www.kordi.or.kr 보건복지부 http://www.mohw.go.kr,한국노인인력개발원 1544-3388,보건복지부,노인지원과,2021,2021-04-09
110,노후공공임대주택시설개선(그린홈),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=110,오래된 공공임대주택에 거주하는 저소득층의 주거환경과 시설을 개선합니다.,,"LH 공사 본사 031-738-4082, 4087",국토교통부,공공주택지원과,2021,2021-05-18
30,노후긴급자금 대부사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=30,"만 60세 이상의 국민연금 연금수급자에게 전월세보증금, 의료비, 배우자 장제비 및 재해복구비 용도의 긴급한 생활안정자금을 저리로 지원합니다.",국민연금공단 http://www.nps.or.kr,국민연금 상담센터 1355,보건복지부,국민연금정책과,2021,2021-04-29
31,노후준비서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=31,안정된 노후생활을 위하여 재무·건강·여가·대인관계 등 분야별 종합적 노후준비를 지원합니다.,국민연금공단 http://www.nps.or.kr 내연금사이트 csa.nps.or.kr,국민연금 상담센터 1355,보건복지부,국민연금정책과,2020,2020-02-10
17519,농식품바우처 시범사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=17519,"저소득 취약계층에 농산물 현물(채소, 과일, 우유, 계란) 지원하여 취약계층의 식품접근성을 강화하는 사업입니다.",농식품바우처 콜센터 www.at.or.kr/fooddream,농식품바우처콜센터 02-538-1957,농림축산식품부,식생활소비급식진흥과,2021,2021-05-12
204,농어가 목돈마련 저축장려금 지급,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=204,목돈마련저축에 가입한 농어민이 저축만기시 저축장려금을 지급하여 생활안정과 재산형성을 지원합니다.,농협 http://www.nonghyup.com 수협 http://www.suhyup.co.kr/,금융위원회 고객센터 02-2156-8000,금융위원회,은행과,2021,2021-04-23
210,농어촌 출신 대학생 학자금 융자,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=210,농어촌지역 대학생에게 학자금 대출을 지원함으로써 학부모의 교육비 경감을 돕습니다.,한국장학재단 상담센터 http://www.kosaf.go.kr/,한국장학재단 상담센터 1599-2290,농림축산식품부,농촌사회복지과,2020,2020-05-26
211,농업인 건강보험료 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=211,의료 이용 접근성이 낮은 농어촌 거주 농업인에 대해 건강보험료 일부를 지원하여 생활안정과 복지증진을 도모합니다.,국민건강보험공단 http://www.nhis.or.kr/,국민건강보험공단 고객센터 1577-1000,농림축산식품부,농촌사회복지과,2021,2021-04-23
212,농업인 연금보험료 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=212,"농산물 수입개방 확대로 인한 농업인의 경제적 부담을 경감하기 위해   연금 보험료 일부를 지원하여 안정적인 노후생활을 도모하고, 노후소득을 보장합니다.",국민연금공단 http://www.nps.or.kr,국민연금 상담센터 1355,농림축산식품부,농촌사회복지과,2021,2021-04-23
108,농업인안전보험,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=108,"농업인이 농작업 중 발생한 피해 보상을 위해 가입하는 정책보험 보험료의 일부를 지원하여, 경영안정을 도모하고 안정적인 재생산활동을 지원합니다.",NH농협생명 http://www.nhlife.co.kr,NH농협생명 1544-4000,농림축산식품부,재해보험정책과,2021,2021-06-18
328,다문화 보육료 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=328,"어린이집을 이용하는 다문화 가정의 영유아 자녀에게 보육료를 지원하여 부모의 양육에 대한 부담을 덜고, 부모가 원활한 경제활동을 할 수 있도록 돕습니다.",보건복지부 http://www.mohw.go.kr 보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,보육사업기획과,2021,2021-06-09
21,다문화·탈북학생 멘토링,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=21,다문화 가정의 학생과 북한에서 남한으로 이주한 학생이 학교 생활에 잘 적응하여 기초학력이 향상되도록 대학생이 돕습니다.,한국장학재단 고객센터 www.kosaf.go.kr 교육부 교육기회보장과 http://www.moe.go.kr,한국장학재단 고객센터 1599-2000,교육부,교육기회보장과,2021,2021-05-31
12399,다문화가족 방문교육 서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=12399,"집합교육 참여가 어려운 다문화 가정에 방문하여 한국어 교육, 부모 교육, 자녀생활 교육을 제공하고 다문화 가족의 정착과 자녀양육을 돕습니다.",다누리콜센터 http://www.liveinkorea.kr/ 한국건강가정진흥원 www.kihf.or.kr,다누리 콜센터 1577-1366,여성가족부,다문화가족과,2021,2021-01-19
125,다문화가족 자녀 언어발달지원서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=125,"다문화가정의 자녀가 건강한 사회구성원, 글로벌 인재로 성장할 수 있도록 체계적인 언어발달을 돕습니다.",다누리콜센터 http://www.liveinkorea.kr/,다누리 콜센터 1577-1366,여성가족부,다문화가족과,2021,2021-02-01
169,다문화가족 지원사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=169,다문화가족과 결혼이민자가 사회에 잘 적응하여 안정적으로 생활할 수 있도록 돕습니다.,여성가족부 http://www.mogef.go.kr/index.jsp 다누리 포털 http://www.liveinkorea.kr/ 다누리콜센터 http://www.liveinkorea.kr/,다누리 콜센터 1577-1366,여성가족부,다문화가족과,2021,2021-06-11
16443,다함께 돌봄 사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16443,돌봄이 필요한 만 6~12세 아동에게 맞춤형 돌봄 서비스를 제공하여  돌봄 사각지대를 해소하고 맞벌이 가구의 육아부담을 덜어줍니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지콜센터 129,보건복지부,인구정책총괄과,2021,2021-04-19
194,대학생근로장학금지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=194,"경제적 사정에 관계없이 누구나 균등한 고등교육의 기회를 가질 수 있는 여건을 조성하고, 직업체험의 기회를 제공하여 사회 적응력과 취업 능력을 키웁니다.",한국장학재단 상담센터 http://www.kosaf.go.kr/,한국장학재단 고객센터 1599-2000,교육부,대학재정장학과,2021,2021-03-31
6,도서민 여객선 운임지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=6,교통 여건이 열악한 도서 지역 주민의 교통비 부담을 덜어 주고자내항 여객선 운임을 지원하여 여건 개선을 도모합니다.,,해양수산부콜센터 110,해양수산부,연안해운과,2021,2021-06-17
33,독거노인 사회관계 활성화 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=33,외로움에 의한 고독사나 자살을 예방하기 위하여 은둔형 독거노인에게 친구관계를 만들어 줍니다.,,독거노인종합지원센터 1661-2129,보건복지부,노인정책과,2019,2019-04-09
242,독거노인·중증장애인 응급안전안심서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=242,"독거노인과 장애인의 가정에 화재 감지기, 활동량 감지기 등을 설치하여 응급상황 발생 시 독거노인 및 장애인 분들이 신속하게 대처하고 소방서에 신고할 수 있는 체계를 구축합니다.",보건복지부 콜센터 http://www.129.go.kr 사회보장정보원 노인사례관리부 http //ucare.mw.go.kr,보건복지상담센터 129,보건복지부,노인정책과,2021,2021-04-19
34,독거노인종합지원센터 운영,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=34,독거노인 보호를 위해 노인맞춤돌봄서비스 및 독거노인사랑잇기사업 등의 원활한 추진을 도와줍니다.,,독거노인종합지원센터 1661-2129,보건복지부,노인정책과,2021,2021-06-09
16478,독립유공자 (손)자녀 생활지원금,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16478,독립유공자의 (손)자녀에게 생활지원금을 지원하여 독립유공자 후손으로서의 영예로운 생활을 보장합니다.,보훈상담센터 www.mpva.go.kr,국가보훈처 보훈상담센터 1577-0606,국가보훈처,보상정책과,2021,2021-04-23
1,독립유공자 제수비 지급,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=1,사망한 독립유공자 기일에 독립유공자의 수권유족에게 제수비를 지원합니다.,국가보훈처 상담센터 www.mpva.go.kr,보훈상담센터 1577-0606,국가보훈처,선양정책과,2021,2021-04-02
292,만0-5세 보육료지원사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=292,"어린이집을 이용하는 영유아의 보육료를 지원하여 양육의 부담을 덜고, 가정의 경제를 돕습니다.",복지로 http://www.bokjiro.go.kr 보건복지부 콜센터 http://www.129.go.kr 보건복지부 http://www.mohw.go.kr,보건복지상담센터 129,보건복지부,보육사업기획과,2021,2021-05-14
166,매체활용능력증진및역기능해소(청소년인터넷·스마트폰과의존치료비지원),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=166,인터넷과 스마트폰에 과의존하는 청소년의 중독 예방 및 상담·치료를 지원합니다.,"여성가족부 http://www.mogef.go.kr/ 청소년상담복지센터, 한국청소년상담복지개발원 한국청소년상담복지개발원(www.kyci.or.kr)",청소년전화 1388,여성가족부,청소년보호환경과,2021,2021-06-14
146,"모성보호육아지원(출산전후휴가(유산ㆍ사산휴가 포함) 급여, 육아휴직등 급여)",http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=146,"출산전후 휴가급여와 육아휴직급여, 육아기 근로시간 단축급여 등을 제공하여 출산으로 인한 퇴직을 방지하고 사업주의 여성 고용기피 요인을 해소합니다.",고용노동부 고객상담센터 http://www.moel.go.kr/,고용노동부 고객상담센터 1350,고용노동부,여성고용정책과,2021,2021-06-18
270,무공영예수당,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=270,무공수훈자의 생활 안정과 복지 향상을 위해 수당을 지급합니다.,국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,보상정책과,2021,2021-05-26
327,미숙아 및 선천성이상아 의료비 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=327,보건소에 등록하여 관리하고 있는 미숙아 및 선천성 이상아 치료에  소요되는 의료비를 지원합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지콜센터 129,보건복지부,출산정책과,2021,2021-04-13
66,미혼모·부 초기지원(권역별미혼모부자거점기관 운영),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=66,"미혼모·부가 아기를 스스로 양육하고자 할 경우, 양육초기 위기에 대처할 수 있는 다양한 서비스를 제공하여 아동의 양육은 물론 미혼모·부가 자립할 수 있도록 지원합니다.",여성가족부 http://www.mogef.go.kr/index.jsp,한부모상담전화 1644-6621,여성가족부,가족지원과,2021,2021-06-07
16437,발달장애인 가족휴식지원사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16437,발달장애인 가족의 양육부담을 경감하고 가족의 정서적 안정을 돕습니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,장애인서비스과,2021,2021-06-16
36,발달장애인 공공후견지원 사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=36,취약계층의 성인 발달장애인에 대한 공공후견심판절차 비용과후견인 활동비용을 지원합니다.,보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,장애인서비스과,2021,2021-06-16
35,발달장애인 부모상담 지원사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=35,"발달장애를 가진 자녀를 양육하고 부양하는 부모의 심리적 부담을 덜어 주고,가족 관계가 더 좋아질 수 있도록 전문 심리상담을 지원합니다",보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,장애인서비스과,2021,2021-06-16
16493,발달장애인 주간활동서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16493,발달장애인의 낮 시간 자신의 욕구를 반영한 지역사회 기반활동 참여함으로써 장애인의 자립생활 및 사회참여 증진을 위한 주간활동서비스를 지원합니다.,보건복지부 콜센터 http://www.129.go.kr 지역발달장애인지원센터 www.broso.or.kr,보건복지부 콜센터 129,보건복지부,장애인서비스과,2021,2021-06-14
358,발달재활서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=358,"장애아동의 인지, 의사소통, 적응행동, 감각, 운동 등의 기능향상과 행동발달을 위한 재활서비스를 지원하고, 관련 정보를 제공합니다.",보건복지부 http://www.mohw.go.kr 사회서비스바우처 http://www.socialservice.or.kr 보건복지부 콜센터 http://www.129.go.kr,보건복지콜센터 129,보건복지부,장애인서비스과,2021,2021-04-08
294,방과후보육료 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=294,어린이집을 이용하는 취학아동의 방과후 보육료를 지원하여 양육의 부담을 줄이고 원활한 경제활동을 돕습니다.,보건복지부 http://www.mohw.go.kr 보건복지부 콜센터 http://www.129.go.kr,보건복지콜센터 129,보건복지부,보육기반과,2020,2020-04-10
197,방과후학교 자유수강권,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=197,방과후학교 수업을 통해 저소득층 자녀의 지속적이며 실직적인 교육기회를 확대하고 공교육 활성화 및 저소득층의 교육격차 해소를 도모합니다.,교육비 원클릭 신청 시스템 상담센터 https://oneclick.moe.go.kr,교육비 원클릭 신청 시스템 상담센터 1544-9654,교육부,방과후돌봄정책과,2020,2020-03-20
12391,버팀목대출보증,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=12391,제도권 금융기관을 이용하기 어려운 금융소외계층의 주거안정을 위해 주택금융신용보증기금을 통해 보증을 지원합니다.,한국주택금융공사 http://www.hf.go.kr/,한국주택금융공사 대표전화 1688-8114,금융위원회,가계금융과,2021,2021-05-27
12396,버팀목전세자금대출,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=12396,무주택 서민의 주거안정을 위해 버팀목전세자금대출을 지원합니다.,주택도시기금 nhuf.milit.go.kr,주택도시기금 1566-9009,국토교통부,주택기금과,2021,2021-05-15
12400,범죄피해자에 대한 경제적 지원 사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=12400,경제적 지원을 통해 범죄피해자의 신체적·정신적 피해 회복과 재활을 돕습니다.,범죄피해자 지원콜 http://www.spo.go.kr,범죄피해자 지원콜 1577-2584,대검찰청,형사4과,2021,2021-05-21
271,보상금,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=271,국가유공자 및 보훈보상 대상자의 생활 안정과 복지 향상을 위하여 보상금을 지원합니다.,국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,보상정책과,2021,2021-05-26
37,보육교직원 인건비 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=37,"국공립이나 법인 등 취약보육을 담당하는 어린이집의 보육교직원에게 인건비를 지원하여 보다 안정적이고, 질 좋은 보육서비스를 제공합니다.",보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,보육사업기획과,2021,2021-06-09
177,보조공학기기 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=177,장애인의 고용을 촉진하기 위하여 장애인이 직장에서 일하는 데 도움이 되는  다양한 보조공학기기를 지원합니다.,한국장애인고용공단 http://www.kead.or.kr,장애인고용공단 대표전화 1588-1519,고용노동부,장애인고용과,2021,2021-06-11
335,보험급여(건강보험 장애인보조기기),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=335,장애인의 의료비 부담을 줄이기 위해 보조기기에 대하여 건강보험급여를 적용합니다.,국민건강보험공단 http://www.nhis.or.kr/ 보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,보험급여과,2021,2021-06-10
16495,보호종료아동 자립수당 지급,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16495,보호종료아동의 시설 퇴소 후 안정적 사회 정착 및 자립지원을 위해생계비 지원 목적의 자립수당 월 30만원 지급,보건복지부 콜센터 http://www.129.go.kr,보건복지부 콜센터 129,보건복지부,아동권리과,2021,2021-03-26
16492,보호종료아동 주거지원 통합서비스,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16492,보호종료아동의 성공적인 자립실현을 위한 안정적 주거환경 조성 및 통합 사례관리를 통한 사회·경제·심리적 자립생활 기반 구축을 지원합니다.,보건복지부 콜센터 http://www.129.go.kr 아동권리보장원 자립지원부(주거지원 담당) www.ncrc.or.kr,보건복지부 콜센터 129,보건복지부,아동권리과,2021,2021-03-29
4,보훈병원 진료,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=4,국가보훈대상자가 건강한 생활을 유지할 수 있도록 보훈병원 진료비의 일부 또는 전액을 국가가 지원합니다.,보훈상담센터 www.mpva.go.kr,보훈상담센터 1577-0606,국가보훈처,보훈의료과,2021,2021-04-08
260,보훈요양원 이용지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=260,"장기요양이 필요한 국가유공자 등이 보훈요양원을 이용할 시,본인부담금의 일부를 지원함으로써 경제적인 부담을 덜고, 안락한 노후생활을 할 수 있도록 보장합니다.",수원보훈요양원 http://suwon.bohun.or.kr 대구보훈요양원 http://dgcare.bohun.or.kr 광주보훈요양원 http://gjcare.bohun.or.kr 김해보훈요양원 http://ghcare.bohun.or.kr 대전보훈요양원 http://djcare.bohun.or.kr 국가보훈처 상담센터 www.mpva.go.kr 남양주보훈요양원 http://nyjcare.bohun.or.kr 원주보훈요양원 http://wjcare.bohun.or.kr,보훈상담센터 1577-0606,국가보훈처,복지운영과,2021,2021-06-08
16489,복권기금 꿈사다리 장학사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=16489,"복권기금을 재원으로 저소득층 우수 중·고생을 발굴, 대학까지 지원하는국가 장학제도를 통해 교육의 희망사다리 기능을 강화합니다.",한국장학재단 상담센터 http://www.kosaf.go.kr/,한국장학재단 상담센터 1599-2290,교육부,교육복지정책과,2021,2021-06-17
8,북한이탈주민 교육비 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=8,북한에서 남한으로 이주한 주민이 안정적인 정착기반을 마련하고 교육적 어려움을 해소할 수 있도록 교육비를 지원합니다.,통일부 정착지원과 www.unikorea.go.kr 남북하나재단 https://www.koreahana.or.kr 남북하나재단 https //www.koreahana.or.kr,남북하나재단 콜센터 1577-6635,통일부,정착지원과,2021,2021-04-16
9,북한이탈주민 사회보장 지원(수급권자 범위의 특례),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=9,북한에서 남한으로 이주한 주민의 안정적인 정착을 지원합니다.,통일부 정착지원과 www.unikorea.go.kr,통일부 정착지원과 02-2100-5786,통일부,정착지원과,2021,2021-05-21
11,북한이탈주민 상담 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=11,"북한에서 남한으로 이주한 주민이 지역사회에 잘 정착할 수 있도록 주택, 취업, 교육, 의료 등을 체계적으로 상담합니다.",북한이탈주민지원재단 http://www.koreahana.or.kr,북한이탈주민지원재단 1577-6635,통일부,정착지원과,2021,2021-05-21
129,북한이탈주민 의료비 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=129,북한이탈주민의 안정적 국내 정착을 지원하기 위해 본인 부담 의료비를 지원합니다.,통일부 정착지원과 www.unikorea.go.kr 북한이탈주민지원재단 www.nkrf.or.kr,남북하나재단 콜센터 1577-6635,통일부,정착지원과,2021,2021-04-27
12,북한이탈주민 자립자활 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=12,"북한에서 남한으로 이주한 주민의 자립과 자활을 위해 취업과 창업을 돕고, 영농활동으로 정착할 수 있도록 지원합니다.",통일부 정착지원과 www.unikorea.go.kr 북한이탈주민지원재단 www.nkrf.or.kr,"북한이탈주민지원재단 02-3215-5837, 5831",통일부,정착지원과,2021,2021-05-21
13464,북한이탈주민 자산형성지원제도(미래행복통장),http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=13464,북한이탈주민이 우리 사회에 안정적으로 정착할 수 있는 자산을 형성하도록 지원합니다.,통일부 정착지원과 www.unikorea.go.kr 남북 하나재단 https://www.koreahana.or.kr,남북하나재단 콜센터 1577-6635,통일부,정착지원과,2021,2021-05-13
13,북한이탈주민 정착금 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=13,북한에서 이주한 주민의 경제적 자립과 자활의지를 높이기 위해 정착금과 주거지원금 등을 지원합니다.,,"북한이탈주민정착지원사무소(정착금, 장려금) 031-670-9328, 9350",통일부,교육기획과,2021,2021-05-10
14,북한이탈주민 주택알선 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=14,북한에서 이주한 주민이 안정적으로 정착하고 자립할 수 있도록하나원의 교육을 수료한 후 주거 공간을 지원합니다.,,북한이탈주민정착지원사무소 031-670-9327,통일부,교육기획과,2021,2021-06-09
15,북한이탈주민 취업 지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=15,"북한이탈주민의 채용 확대와 장기 근속, 안정된 직업을 장려하기 위하여사업자와 북한이탈주민에게 취업장려금 등을 지원합니다.",통일부 정착지원과 www.unikorea.go.kr 통일부 북한이탈주민정착지원사무소 교육기획과 www.unikorea.go.kr,통일부 북한이탈주민정착지원사무소 교육기획과 031-670-9300,통일부,정착지원과,2021,2021-05-13
17521,비주택 주거급여수급자 주거상향지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=17521,쪽방·고시원 등 열악한 비주택거주자들이 공공임대주택으로 이주할 수 있도록 지자체에서 지역복지역량을 활용하여공공임대주택 이주수요를 발굴하고 이주과정을 지원하는 프로그램을 운영합니다.,국토교통부 http://www.molit.go.kr/happyhouse,국토교통부 1599-0001,국토교통부,주거복지정책과,2021,2021-05-25
272,사망일시금,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=272,독립유공자 혹은 그 유족이 사망한 경우 생활 안정과 복지 향상을 위하여 사망일시금을 지원합니다.,국가보훈처 http://www.mpva.go.kr/,보훈상담센터 1577-0606,국가보훈처,보상정책과,2021,2021-05-21
126,사할린한인지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=126,"영주 귀국한 모든 사할린 한인을 대상으로 생계비 및 생활을 지원하여 귀국 후,안정된 생활을 영위할 수 있도록 지원합니다.",보건복지부 http://www.mohw.go.kr 보건복지부 콜센터 http://www.129.go.kr,보건복지상담센터 129,보건복지부,노인정책과,2021,2021-05-16
218,사회복지시설신재생에너지보급,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=218,"신재생에너지보급사업으로 사회복지시설에 태양광, 태양열 등 신재생 설비를 설치하는 경우 사업비의 일부를 국고로 지원합니다.",신재생에너지센터 http://www.energy.or.kr 산업통상자원부 http://www.motie.go.kr 한국에너지공단 http://www.energy.or.kr,신재생에너지센터 052-920-0766,산업통상자원부,재생에너지산업과,2021,2021-05-27
38,사회복지종사자 상해보험 가입지원,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=38,사회복지종사자의 처우 개선과 양질의 복지서비스 기반을 조성하기 위해 사회복지종사자의 상해보험 가입을 지원합니다.,한국사회복지공제회 www.kwcu.or.kr,한국사회복지공제회 02-3775-8899,보건복지부,복지정책과,2020,2020-02-10
184,사회적기업 일자리 창출 사업,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=184,"사회적 기업에 인건비 등 재정지원을 하여 기업을 육성하고,  일자리 창출에 이바지 합니다.",사회적 기업 홈페이지 http://www.socialenterprise.or.kr/ 고용노동부 고객상담센터 http://www.moel.go.kr/,고용노동부 고객상담센터 1350,고용노동부,사회적기업과,2021,2021-05-11
202,산림보호지원단,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=202,산림보호를 위해 민간인 감시원을 고용해 불법으로 산림이 훼손되는 것을 예방하고 단속하며 동시에 산림보호 분야의 안정적인 일자리를 창출하여 사회서비스 확충에 기여합니다.,,산림청 대표전화 1588-3249,산림청,산림환경보호과,2020,2020-05-19
15281,산림복지서비스이용권,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=15281,경제적 또는사회적 여건으로 인해 산림복지 혜택을 받지 못하는 소외계층에게 산림복지서비스 체험 기회를 제공하여 삶의 질을 높일 수 있도록 돕습니다.,한국산림복지진흥원 산림복지서비스이용권지원시스템,한국산림복지진흥원 042-719-4163,산림청,산림복지정책과,2021,2021-03-31
203,산림서비스도우미,http://www.bokjiro.go.kr/welInfo/retrieveGvmtWelInfo.do?welInfSno=203,"숲길등산지도사 등 산림서비스 도우미를 고용하여 일자리를 창출하고, 국민에게 산림서비스를 제공합니다.",일자리사업통합정보시스템(일모아) http://www.ilmoa.go.kr 산림청 http://www.forest.go.kr/,산림청 대표전화 1588-3249,산림청,도시숲경관과,2020,2020-02-18
